Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Cathlamet,Fauntleroy,Vashon,11:15,11:16,11:29,04/14/2024,
Cathlamet,Vashon,Fauntleroy,11:45,11:46,11:59,04/14/2024,
Cathlamet,Fauntleroy,Vashon,12:15,12:18,12:31,04/14/2024,
Cathlamet,Vashon,Southworth,12:45,12:46,12:56,04/14/2024,
Cathlamet,Southworth,Vashon,13:10,13:10,13:23,04/14/2024,
Cathlamet,Vashon,Fauntleroy,13:30,13:35,13:49,04/14/2024,
Cathlamet,Fauntleroy,Vashon,14:00,14:09,14:23,04/14/2024,
Cathlamet,Vashon,Southworth,14:30,14:33,14:46,04/14/2024,
Cathlamet,Southworth,Vashon,14:50,15:00,15:12,04/14/2024,
Cathlamet,Vashon,Fauntleroy,15:10,15:22,15:36,04/14/2024,
Cathlamet,Fauntleroy,Vashon,15:40,15:55,16:09,04/14/2024,
Cathlamet,Vashon,Southworth,16:05,16:19,16:29,04/14/2024,
Cathlamet,Southworth,Vashon,16:30,16:47,16:59,04/14/2024,
Cathlamet,Vashon,Fauntleroy,16:50,17:10,17:23,04/14/2024,
Cathlamet,Fauntleroy,Vashon,17:20,17:41,17:54,04/14/2024,
Cathlamet,Vashon,Fauntleroy,17:45,18:10,18:24,04/14/2024,
Cathlamet,Fauntleroy,Vashon,18:15,18:36,18:50,04/14/2024,
Cathlamet,Vashon,Southworth,18:40,18:55,19:08,04/14/2024,
Cathlamet,Vashon,Fauntleroy,20:25,20:29,20:42,04/14/2024,
Cathlamet,Southworth,Vashon,21:35,21:54,22:07,04/14/2024,
Cathlamet,Vashon,Fauntleroy,04:05,04:06,04:19,04/15/2024,
Cathlamet,Fauntleroy,Southworth,04:25,04:26,04:43,04/15/2024,
Cathlamet,Southworth,Vashon,05:00,05:01,05:12,04/15/2024,
Cathlamet,Vashon,Fauntleroy,05:20,05:21,05:34,04/15/2024,
Cathlamet,Fauntleroy,Vashon,05:50,05:51,06:04,04/15/2024,
Cathlamet,Vashon,Southworth,06:15,06:16,06:27,04/15/2024,
