Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Tillikum,Friday Harbor,Shaw,11:35,11:43,12:26,04/15/2024,
Tillikum,Shaw,Orcas,12:20,12:42,12:52,04/15/2024,
Tillikum,Orcas,Lopez,12:40,13:00,13:19,04/15/2024,
Tillikum,Lopez,Friday Harbor,13:05,13:26,14:19,04/15/2024,
Tillikum,Friday Harbor,Orcas,14:20,14:31,15:13,04/15/2024,
Tillikum,Orcas,Shaw,15:10,15:21,15:29,04/15/2024,
Tillikum,Shaw,Lopez,15:25,15:32,15:51,04/15/2024,
Tillikum,Lopez,Shaw,15:50,15:59,16:18,04/15/2024,
Tillikum,Shaw,Orcas,16:10,16:23,16:29,04/15/2024,
Tillikum,Orcas,Friday Harbor,16:30,16:38,17:27,04/15/2024,
Tillikum,Friday Harbor,Orcas,17:45,17:45,18:26,04/15/2024,
Tillikum,Orcas,Shaw,18:45,18:45,18:52,04/15/2024,
Tillikum,Shaw,Lopez,19:00,19:00,19:25,04/15/2024,
Tillikum,Lopez,Shaw,19:30,19:30,19:48,04/15/2024,
Tillikum,Shaw,Orcas,19:50,19:50,20:01,04/15/2024,
Tillikum,Orcas,Friday Harbor,20:05,20:06,20:46,04/15/2024,
Tillikum,Friday Harbor,Lopez,06:05,06:07,06:48,04/16/2024,
Tillikum,Lopez,Shaw,06:55,06:58,07:20,04/16/2024,
Tillikum,Shaw,Orcas,07:15,07:25,07:32,04/16/2024,
Tillikum,Orcas,Friday Harbor,07:35,07:44,08:31,04/16/2024,
Tillikum,Friday Harbor,Orcas,08:30,08:46,09:22,04/16/2024,
Tillikum,Orcas,Shaw,09:15,09:30,09:39,04/16/2024,
Tillikum,Shaw,Lopez,09:30,09:43,10:03,04/16/2024,
Tillikum,Lopez,Shaw,09:55,10:11,10:29,04/16/2024,
Tillikum,Shaw,Orcas,10:15,10:32,10:40,04/16/2024,
Tillikum,Orcas,Friday Harbor,10:35,10:48,11:25,04/16/2024,
Tillikum,Friday Harbor,Shaw,11:35,11:37,12:20,04/16/2024,
Tillikum,Shaw,Orcas,12:20,12:25,12:38,04/16/2024,
Tillikum,Orcas,Lopez,12:40,12:49,13:11,04/16/2024,
Tillikum,Friday Harbor,Orcas,14:20,14:22,15:03,04/16/2024,
Tillikum,Orcas,Shaw,15:10,15:10,15:17,04/16/2024,
Tillikum,Shaw,Lopez,15:25,15:25,15:43,04/16/2024,
Tillikum,Lopez,Shaw,15:50,15:52,16:11,04/16/2024,
Tillikum,Shaw,Orcas,16:10,16:17,16:25,04/16/2024,
Tillikum,Orcas,Friday Harbor,16:30,16:34,17:19,04/16/2024,
Tillikum,Friday Harbor,Orcas,17:45,18:03,18:41,04/16/2024,
Tillikum,Orcas,Shaw,18:45,18:47,18:55,04/16/2024,
Tillikum,Shaw,Lopez,19:00,19:00,19:18,04/16/2024,
Tillikum,Lopez,Shaw,19:30,19:30,19:48,04/16/2024,
Tillikum,Shaw,Orcas,19:50,19:51,20:03,04/16/2024,
Tillikum,Orcas,Friday Harbor,20:05,20:06,20:54,04/16/2024,
Tillikum,Friday Harbor,Lopez,06:05,06:05,06:42,04/17/2024,
Tillikum,Lopez,Shaw,06:55,06:55,07:16,04/17/2024,
Tillikum,Shaw,Orcas,07:15,07:22,07:30,04/17/2024,
Tillikum,Orcas,Friday Harbor,07:35,07:41,08:29,04/17/2024,
Tillikum,Friday Harbor,Orcas,08:30,08:40,09:14,04/17/2024,
Tillikum,Orcas,Shaw,09:15,09:24,09:32,04/17/2024,
Tillikum,Shaw,Lopez,09:30,09:37,09:58,04/17/2024,
Tillikum,Lopez,Shaw,09:55,10:08,10:27,04/17/2024,
Tillikum,Shaw,Orcas,10:15,10:32,10:39,04/17/2024,
Tillikum,Orcas,Friday Harbor,10:35,10:50,11:35,04/17/2024,
Tillikum,Friday Harbor,Shaw,11:35,11:57,12:40,04/17/2024,
Tillikum,Shaw,Orcas,12:20,12:47,12:55,04/17/2024,
Tillikum,Orcas,Lopez,12:40,13:04,13:23,04/17/2024,
Tillikum,Lopez,Friday Harbor,13:05,13:30,14:11,04/17/2024,
Tillikum,Friday Harbor,Orcas,14:20,14:26,15:11,04/17/2024,
Tillikum,Orcas,Shaw,15:10,15:20,15:27,04/17/2024,
Tillikum,Shaw,Lopez,15:25,15:32,15:50,04/17/2024,
Tillikum,Lopez,Shaw,15:50,15:59,16:20,04/17/2024,
Tillikum,Shaw,Orcas,16:10,16:25,16:33,04/17/2024,
Tillikum,Orcas,Friday Harbor,16:30,16:44,17:33,04/17/2024,
Tillikum,Friday Harbor,Orcas,17:45,17:46,18:27,04/17/2024,
Tillikum,Orcas,Shaw,18:45,18:44,18:51,04/17/2024,
Tillikum,Shaw,Lopez,19:00,19:00,19:17,04/17/2024,
Tillikum,Lopez,Shaw,19:30,19:29,19:49,04/17/2024,
Tillikum,Shaw,Orcas,19:50,19:52,20:04,04/17/2024,
Tillikum,Orcas,Friday Harbor,20:05,20:09,21:00,04/17/2024,
