Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Kitsap,Mukilteo,Clinton,15:05,15:09,15:25,04/30/2024,
Kitsap,Clinton,Mukilteo,15:35,15:42,15:57,04/30/2024,
Kitsap,Mukilteo,Clinton,16:05,16:12,16:27,04/30/2024,
Kitsap,Clinton,Mukilteo,16:35,16:43,16:57,04/30/2024,
Kitsap,Mukilteo,Clinton,17:10,17:14,17:28,04/30/2024,
Kitsap,Clinton,Mukilteo,17:35,17:43,17:56,04/30/2024,
Kitsap,Mukilteo,Clinton,18:10,18:10,18:29,04/30/2024,
Kitsap,Clinton,Mukilteo,18:35,18:41,18:55,04/30/2024,
Kitsap,Mukilteo,Clinton,19:05,19:06,19:20,04/30/2024,
Kitsap,Clinton,Mukilteo,19:35,19:37,19:54,04/30/2024,
Kitsap,Mukilteo,Clinton,20:05,20:09,20:24,04/30/2024,
Kitsap,Clinton,Mukilteo,20:30,20:36,20:53,04/30/2024,
Kitsap,Mukilteo,Clinton,21:00,21:02,21:19,04/30/2024,
Kitsap,Clinton,Mukilteo,04:40,04:40,04:55,05/01/2024,
Kitsap,Mukilteo,Clinton,05:05,05:05,05:18,05/01/2024,
Kitsap,Clinton,Mukilteo,05:30,05:30,05:43,05/01/2024,
Kitsap,Mukilteo,Clinton,06:00,06:00,06:14,05/01/2024,
Kitsap,Clinton,Mukilteo,06:30,06:31,06:44,05/01/2024,
Kitsap,Mukilteo,Clinton,07:00,07:00,07:13,05/01/2024,
Kitsap,Clinton,Mukilteo,07:30,07:30,07:44,05/01/2024,
Kitsap,Mukilteo,Clinton,08:00,08:02,08:15,05/01/2024,
Kitsap,Clinton,Mukilteo,08:30,08:31,08:44,05/01/2024,
Kitsap,Mukilteo,Clinton,09:00,09:00,09:12,05/01/2024,
Kitsap,Clinton,Mukilteo,09:30,09:30,09:43,05/01/2024,
Kitsap,Mukilteo,Clinton,10:00,10:00,10:12,05/01/2024,
Kitsap,Clinton,Mukilteo,10:30,10:36,10:48,05/01/2024,
Kitsap,Mukilteo,Clinton,11:00,11:03,11:16,05/01/2024,
Kitsap,Clinton,Mukilteo,11:30,11:31,11:44,05/01/2024,
Kitsap,Mukilteo,Clinton,12:00,12:00,12:13,05/01/2024,
Kitsap,Clinton,Mukilteo,12:30,12:30,12:43,05/01/2024,
Kitsap,Mukilteo,Clinton,13:00,13:00,13:13,05/01/2024,
Kitsap,Clinton,Mukilteo,13:30,13:31,13:45,05/01/2024,
Kitsap,Mukilteo,Clinton,14:05,14:05,14:19,05/01/2024,
Kitsap,Clinton,Mukilteo,14:35,14:35,14:50,05/01/2024,
Kitsap,Mukilteo,Clinton,15:05,15:05,15:18,05/01/2024,
Kitsap,Clinton,Mukilteo,15:35,15:37,15:50,05/01/2024,
Kitsap,Mukilteo,Clinton,16:05,16:06,16:19,05/01/2024,
