Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
WallaWalla,Bremerton,,13:30,13:32,00:00,04/17/2024,
WallaWalla,Colman,,14:50,14:51,00:00,04/17/2024,
WallaWalla,Bremerton,,16:15,16:16,00:00,04/17/2024,
WallaWalla,Colman,,17:30,17:32,00:00,04/17/2024,
WallaWalla,Bremerton,,18:40,18:42,00:00,04/17/2024,
WallaWalla,Colman,,19:50,19:50,00:00,04/17/2024,
WallaWalla,Bremerton,,21:00,21:01,00:00,04/17/2024,
WallaWalla,Colman,,22:30,22:31,00:00,04/17/2024,
WallaWalla,Bremerton,,23:40,23:41,00:00,04/17/2024,
WallaWalla,Colman,,00:50,00:51,00:00,04/18/2024,
WallaWalla,Bremerton,,06:20,06:22,00:00,04/18/2024,
WallaWalla,Colman,,07:35,07:37,00:00,04/18/2024,
WallaWalla,Bremerton,,08:45,08:47,00:00,04/18/2024,
WallaWalla,Colman,,10:00,10:01,00:00,04/18/2024,
WallaWalla,Bremerton,,11:10,11:11,00:00,04/18/2024,
WallaWalla,Colman,,12:20,12:21,00:00,04/18/2024,
WallaWalla,Bremerton,,13:30,13:32,00:00,04/18/2024,
WallaWalla,Colman,,14:50,14:51,00:00,04/18/2024,
WallaWalla,Bremerton,,16:15,16:17,00:00,04/18/2024,
WallaWalla,Colman,,17:30,17:31,00:00,04/18/2024,
WallaWalla,Bremerton,,18:40,18:41,00:00,04/18/2024,
WallaWalla,Colman,,19:50,19:51,00:00,04/18/2024,
WallaWalla,Bremerton,,21:00,21:02,00:00,04/18/2024,
WallaWalla,Colman,,22:30,22:34,00:00,04/18/2024,
WallaWalla,Bremerton,,23:40,23:41,00:00,04/18/2024,
WallaWalla,Colman,,00:50,00:51,00:00,04/19/2024,
WallaWalla,Bremerton,,06:20,06:21,00:00,04/19/2024,
WallaWalla,Colman,,07:35,07:37,00:00,04/19/2024,
WallaWalla,Bremerton,,08:45,08:48,00:00,04/19/2024,
WallaWalla,Colman,,10:00,10:01,00:00,04/19/2024,
WallaWalla,Bremerton,,11:10,11:12,00:00,04/19/2024,
WallaWalla,Colman,,12:20,12:23,00:00,04/19/2024,
WallaWalla,Bremerton,,13:30,13:31,00:00,04/19/2024,
WallaWalla,Colman,,14:50,14:52,00:00,04/19/2024,
WallaWalla,Bremerton,,16:15,16:17,00:00,04/19/2024,
WallaWalla,Colman,,17:30,17:44,00:00,04/19/2024,
WallaWalla,Bremerton,,18:40,19:01,00:00,04/19/2024,
WallaWalla,Colman,,19:50,20:09,00:00,04/19/2024,
WallaWalla,Bremerton,,21:00,21:14,00:00,04/19/2024,
WallaWalla,Colman,,22:30,22:36,00:00,04/19/2024,
WallaWalla,Bremerton,,23:40,23:41,00:00,04/19/2024,
WallaWalla,Colman,,00:50,00:52,00:00,04/20/2024,
WallaWalla,Bremerton,,06:20,06:21,00:00,04/20/2024,
WallaWalla,Colman,,07:35,07:37,00:00,04/20/2024,
WallaWalla,Bremerton,,08:45,08:47,00:00,04/20/2024,
WallaWalla,Colman,,10:00,10:02,00:00,04/20/2024,
WallaWalla,Bremerton,,11:10,11:12,00:00,04/20/2024,
WallaWalla,Colman,,12:20,12:22,00:00,04/20/2024,
WallaWalla,Bremerton,,13:30,13:32,00:00,04/20/2024,
WallaWalla,Colman,,14:50,14:54,00:00,04/20/2024,
WallaWalla,Bremerton,,16:15,16:16,00:00,04/20/2024,
WallaWalla,Colman,,17:30,17:31,00:00,04/20/2024,
WallaWalla,Bremerton,,18:40,18:43,00:00,04/20/2024,
WallaWalla,Colman,,19:50,19:51,00:00,04/20/2024,
WallaWalla,Bremerton,,21:00,21:01,00:00,04/20/2024,
WallaWalla,Colman,,22:30,22:31,00:00,04/20/2024,
WallaWalla,Bremerton,,23:40,23:41,00:00,04/20/2024,
WallaWalla,Colman,,00:50,00:51,00:00,04/21/2024,
WallaWalla,Bremerton,,06:20,06:21,00:00,04/21/2024,
WallaWalla,Colman,,07:35,07:37,00:00,04/21/2024,
WallaWalla,Bremerton,,08:45,08:46,00:00,04/21/2024,
WallaWalla,Colman,,10:00,10:02,00:00,04/21/2024,
WallaWalla,Bremerton,,11:10,11:11,00:00,04/21/2024,
WallaWalla,Colman,,12:20,12:23,00:00,04/21/2024,
WallaWalla,Bremerton,,13:30,13:32,00:00,04/21/2024,
WallaWalla,Colman,,14:50,14:52,00:00,04/21/2024,
WallaWalla,Bremerton,,16:15,16:17,00:00,04/21/2024,
WallaWalla,Colman,,17:30,17:32,00:00,04/21/2024,
WallaWalla,Bremerton,,18:40,18:42,00:00,04/21/2024,
WallaWalla,Colman,,19:50,19:50,00:00,04/21/2024,
WallaWalla,Bremerton,,21:00,21:05,00:00,04/21/2024,
WallaWalla,Colman,,22:30,22:31,00:00,04/21/2024,
WallaWalla,Bremerton,,23:40,23:40,00:00,04/21/2024,
WallaWalla,Colman,,00:50,00:51,00:00,04/22/2024,
WallaWalla,Bremerton,,06:20,06:22,00:00,04/22/2024,
WallaWalla,Colman,,07:35,07:37,00:00,04/22/2024,
WallaWalla,Bremerton,,08:45,08:55,00:00,04/22/2024,
WallaWalla,Colman,,10:00,10:02,00:00,04/22/2024,
WallaWalla,Bremerton,,11:10,11:11,00:00,04/22/2024,
WallaWalla,Colman,,12:20,12:22,00:00,04/22/2024,
WallaWalla,Bremerton,,13:30,13:32,00:00,04/22/2024,
WallaWalla,Colman,,14:50,14:51,00:00,04/22/2024,
WallaWalla,Bremerton,,16:15,16:16,00:00,04/22/2024,
WallaWalla,Colman,,17:30,17:31,00:00,04/22/2024,
WallaWalla,Bremerton,,18:40,18:41,00:00,04/22/2024,
WallaWalla,Colman,,19:50,19:51,00:00,04/22/2024,
WallaWalla,Bremerton,,21:00,21:01,00:00,04/22/2024,
WallaWalla,Colman,,22:30,22:31,00:00,04/22/2024,
WallaWalla,Bremerton,,23:40,23:41,00:00,04/22/2024,
WallaWalla,Colman,,00:50,00:51,00:00,04/23/2024,
WallaWalla,Bremerton,,06:20,06:24,00:00,04/23/2024,
WallaWalla,Colman,,07:35,07:37,00:00,04/23/2024,
WallaWalla,Bremerton,,08:45,08:47,00:00,04/23/2024,
WallaWalla,Colman,,10:00,10:01,00:00,04/23/2024,
WallaWalla,Bremerton,,11:10,11:11,00:00,04/23/2024,
WallaWalla,Colman,,12:20,12:23,00:00,04/23/2024,
WallaWalla,Bremerton,,13:30,13:31,00:00,04/23/2024,
WallaWalla,Colman,,14:50,14:55,00:00,04/23/2024,
WallaWalla,Bremerton,,16:15,16:17,00:00,04/23/2024,
WallaWalla,Colman,,17:30,17:31,00:00,04/23/2024,
WallaWalla,Bremerton,,18:40,18:41,00:00,04/23/2024,
WallaWalla,Colman,,19:50,19:51,00:00,04/23/2024,
WallaWalla,Bremerton,,21:00,21:01,00:00,04/23/2024,
WallaWalla,Colman,,22:30,22:32,00:00,04/23/2024,
