Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Sealth,Lopez,Anacortes,17:00,17:02,17:45,04/18/2024,
Sealth,Anacortes,Lopez,18:00,18:08,18:46,04/18/2024,
Sealth,Lopez,Friday Harbor,18:50,18:53,19:23,04/18/2024,
Sealth,Friday Harbor,Lopez,19:45,19:45,20:14,04/18/2024,
Sealth,Lopez,Anacortes,20:25,20:25,21:10,04/18/2024,
Sealth,Anacortes,Lopez,06:20,06:20,07:04,04/19/2024,
Sealth,Lopez,Friday Harbor,07:10,07:12,07:45,04/19/2024,
Sealth,Friday Harbor,Anacortes,08:05,08:12,09:19,04/19/2024,
Sealth,Anacortes,Friday Harbor,09:30,09:34,10:42,04/19/2024,
Sealth,Friday Harbor,Anacortes,11:05,11:05,12:08,04/19/2024,
Sealth,Anacortes,Lopez,12:35,12:35,13:19,04/19/2024,
Sealth,Lopez,Anacortes,13:35,13:35,14:17,04/19/2024,
Sealth,Anacortes,Friday Harbor,14:40,14:39,15:43,04/19/2024,
Sealth,Friday Harbor,Lopez,16:15,16:15,16:45,04/19/2024,
Sealth,Lopez,Anacortes,17:00,17:00,17:41,04/19/2024,
Sealth,Anacortes,Lopez,18:00,18:05,18:44,04/19/2024,
Sealth,Lopez,Friday Harbor,18:50,18:50,19:20,04/19/2024,
Sealth,Friday Harbor,Lopez,19:45,19:45,20:14,04/19/2024,
Sealth,Lopez,Anacortes,20:25,20:25,21:09,04/19/2024,
Sealth,Anacortes,Lopez,06:20,06:20,07:00,04/20/2024,
Sealth,Lopez,Friday Harbor,07:10,07:10,07:42,04/20/2024,
Sealth,Friday Harbor,Anacortes,08:05,08:05,09:12,04/20/2024,
Sealth,Anacortes,Friday Harbor,09:30,09:32,10:36,04/20/2024,
Sealth,Friday Harbor,Anacortes,11:05,11:05,12:14,04/20/2024,
Sealth,Anacortes,Lopez,12:35,12:35,13:15,04/20/2024,
Sealth,Lopez,Anacortes,13:35,13:35,14:20,04/20/2024,
Sealth,Anacortes,Friday Harbor,14:40,14:40,15:44,04/20/2024,
Sealth,Friday Harbor,Lopez,16:15,16:15,16:49,04/20/2024,
Sealth,Lopez,Anacortes,17:00,17:00,17:41,04/20/2024,
Sealth,Anacortes,Lopez,18:00,18:02,18:42,04/20/2024,
Sealth,Lopez,Friday Harbor,18:50,18:50,19:23,04/20/2024,
Sealth,Friday Harbor,Lopez,19:45,19:45,20:16,04/20/2024,
Sealth,Lopez,Anacortes,20:25,20:25,21:07,04/20/2024,
Sealth,Anacortes,Lopez,06:20,06:20,07:02,04/21/2024,
Sealth,Lopez,Friday Harbor,07:10,07:10,07:44,04/21/2024,
Sealth,Friday Harbor,Anacortes,08:05,08:05,09:12,04/21/2024,
Sealth,Anacortes,Friday Harbor,09:30,09:31,10:42,04/21/2024,
Sealth,Friday Harbor,Anacortes,11:05,11:05,12:11,04/21/2024,
Sealth,Anacortes,Lopez,12:35,12:35,13:16,04/21/2024,
Sealth,Lopez,Anacortes,13:35,13:35,14:19,04/21/2024,
Sealth,Anacortes,Friday Harbor,14:40,14:41,15:45,04/21/2024,
Sealth,Friday Harbor,Lopez,16:15,16:16,16:50,04/21/2024,
