Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Spokane,Edmonds,Kingston,15:15,15:17,15:38,04/16/2024,
Spokane,Kingston,Edmonds,16:00,16:02,16:23,04/16/2024,
Spokane,Edmonds,Kingston,16:45,16:48,17:17,04/16/2024,
Spokane,Kingston,Edmonds,17:30,17:32,17:54,04/16/2024,
Spokane,Edmonds,Kingston,18:15,18:17,18:38,04/16/2024,
Spokane,Kingston,Edmonds,19:00,19:02,19:22,04/16/2024,
Spokane,Edmonds,Kingston,19:40,19:41,20:03,04/16/2024,
Spokane,Kingston,Edmonds,20:20,20:21,20:45,04/16/2024,
Spokane,Edmonds,Kingston,21:05,21:06,21:27,04/16/2024,
Spokane,Kingston,Edmonds,21:40,21:41,22:25,04/16/2024,
Spokane,Edmonds,Kingston,23:45,23:46,00:08,04/16/2024,
Spokane,Kingston,Edmonds,04:45,04:47,05:08,04/17/2024,
Spokane,Edmonds,Kingston,05:35,05:37,06:00,04/17/2024,
Spokane,Kingston,Edmonds,06:25,06:27,06:51,04/17/2024,
Spokane,Edmonds,Kingston,07:10,07:20,07:34,04/17/2024,
Spokane,Kingston,Edmonds,07:55,07:58,08:19,04/17/2024,
Spokane,Edmonds,Kingston,08:50,08:55,09:16,04/17/2024,
Spokane,Kingston,Edmonds,09:35,09:42,10:04,04/17/2024,
Spokane,Edmonds,Kingston,10:20,10:29,10:49,04/17/2024,
Spokane,Kingston,Edmonds,11:05,11:11,11:32,04/17/2024,
Spokane,Edmonds,Kingston,11:55,11:57,12:18,04/17/2024,
Spokane,Kingston,Edmonds,12:45,12:46,13:08,04/17/2024,
Spokane,Edmonds,Kingston,13:35,13:37,13:59,04/17/2024,
Spokane,Kingston,Edmonds,14:30,14:31,15:11,04/17/2024,
Spokane,Edmonds,Kingston,15:15,15:19,15:41,04/17/2024,
Spokane,Kingston,Edmonds,16:00,16:05,16:26,04/17/2024,
Spokane,Edmonds,Kingston,16:45,16:48,17:09,04/17/2024,
Spokane,Kingston,Edmonds,17:30,17:32,18:04,04/17/2024,
Spokane,Edmonds,Kingston,19:40,19:43,20:04,04/17/2024,
Spokane,Kingston,Edmonds,20:20,20:39,20:56,04/17/2024,
Spokane,Edmonds,Kingston,21:05,21:07,21:27,04/17/2024,
