Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Kennewick,Keystone,Port Townsend,11:45,11:48,12:14,04/16/2024,
Kennewick,Port Townsend,Keystone,12:30,12:31,12:57,04/16/2024,
Kennewick,Keystone,Port Townsend,13:15,13:15,13:41,04/16/2024,
Kennewick,Port Townsend,Keystone,14:00,14:00,14:27,04/16/2024,
Kennewick,Keystone,Port Townsend,14:45,14:45,15:11,04/16/2024,
Kennewick,Port Townsend,Keystone,15:30,15:30,15:56,04/16/2024,
Kennewick,Keystone,Port Townsend,16:15,16:15,16:41,04/16/2024,
Kennewick,Port Townsend,Keystone,17:15,17:15,17:41,04/16/2024,
Kennewick,Keystone,Port Townsend,18:00,18:00,18:26,04/16/2024,
Kennewick,Port Townsend,Keystone,18:45,18:45,19:12,04/16/2024,
Kennewick,Keystone,Port Townsend,19:30,19:30,19:57,04/16/2024,
Kennewick,Port Townsend,Keystone,20:30,20:30,20:56,04/16/2024,
Kennewick,Keystone,Port Townsend,21:10,21:11,21:37,04/16/2024,
Kennewick,Port Townsend,Keystone,06:30,06:30,06:58,04/17/2024,
Kennewick,Keystone,Port Townsend,07:15,07:15,07:41,04/17/2024,
Kennewick,Port Townsend,Keystone,08:00,08:00,08:26,04/17/2024,
Kennewick,Keystone,Port Townsend,08:45,08:45,09:11,04/17/2024,
Kennewick,Port Townsend,Keystone,09:30,09:30,09:57,04/17/2024,
Kennewick,Keystone,Port Townsend,10:15,10:17,10:43,04/17/2024,
Kennewick,Port Townsend,Keystone,11:00,11:01,11:28,04/17/2024,
Kennewick,Keystone,Port Townsend,11:45,11:47,12:14,04/17/2024,
Kennewick,Port Townsend,Keystone,12:30,12:31,12:58,04/17/2024,
Kennewick,Keystone,Port Townsend,13:15,13:15,13:41,04/17/2024,
Kennewick,Port Townsend,Keystone,14:00,14:00,14:26,04/17/2024,
Kennewick,Keystone,Port Townsend,14:45,14:46,15:11,04/17/2024,
Kennewick,Port Townsend,Keystone,15:30,15:30,15:58,04/17/2024,
Kennewick,Keystone,Port Townsend,16:15,16:16,16:41,04/17/2024,
Kennewick,Port Townsend,Keystone,17:15,17:15,17:42,04/17/2024,
Kennewick,Keystone,Port Townsend,18:00,18:00,18:27,04/17/2024,
Kennewick,Port Townsend,Keystone,18:45,18:46,19:12,04/17/2024,
Kennewick,Keystone,Port Townsend,19:30,19:30,19:58,04/17/2024,
Kennewick,Port Townsend,Keystone,20:30,20:30,20:56,04/17/2024,
Kennewick,Keystone,Port Townsend,21:10,21:10,21:37,04/17/2024,
Kennewick,Port Townsend,Keystone,06:30,06:30,06:57,04/18/2024,
Kennewick,Keystone,Port Townsend,07:15,07:15,07:43,04/18/2024,
Kennewick,Port Townsend,Keystone,08:00,08:00,08:27,04/18/2024,
Kennewick,Keystone,Port Townsend,08:45,08:47,09:16,04/18/2024,
Kennewick,Port Townsend,Keystone,09:30,09:31,09:57,04/18/2024,
Kennewick,Keystone,Port Townsend,10:15,10:16,10:43,04/18/2024,
Kennewick,Port Townsend,Keystone,11:00,11:00,11:27,04/18/2024,
Kennewick,Keystone,Port Townsend,11:45,11:45,12:14,04/18/2024,
Kennewick,Port Townsend,Keystone,12:30,12:32,12:58,04/18/2024,
Kennewick,Keystone,Port Townsend,13:15,13:17,13:44,04/18/2024,
Kennewick,Port Townsend,Keystone,14:00,14:03,14:28,04/18/2024,
Kennewick,Keystone,Port Townsend,14:45,14:47,15:13,04/18/2024,
Kennewick,Port Townsend,Keystone,15:30,15:30,15:55,04/18/2024,
Kennewick,Keystone,Port Townsend,16:15,16:15,16:42,04/18/2024,
Kennewick,Port Townsend,Keystone,17:15,17:17,17:43,04/18/2024,
Kennewick,Keystone,Port Townsend,18:00,18:01,18:26,04/18/2024,
Kennewick,Port Townsend,Keystone,18:45,18:45,19:12,04/18/2024,
Kennewick,Keystone,Port Townsend,19:30,19:30,19:55,04/18/2024,
Kennewick,Port Townsend,Keystone,20:30,20:30,20:55,04/18/2024,
Kennewick,Keystone,Port Townsend,21:10,21:10,21:36,04/18/2024,
Kennewick,Port Townsend,Keystone,06:30,06:30,06:57,04/19/2024,
Kennewick,Keystone,Port Townsend,07:15,07:15,07:42,04/19/2024,
Kennewick,Port Townsend,Keystone,08:00,08:00,08:27,04/19/2024,
Kennewick,Keystone,Port Townsend,08:45,08:46,09:14,04/19/2024,
Kennewick,Port Townsend,Keystone,09:30,09:30,09:59,04/19/2024,
Kennewick,Keystone,Port Townsend,10:15,10:15,10:42,04/19/2024,
Kennewick,Port Townsend,Keystone,11:00,11:00,11:27,04/19/2024,
Kennewick,Keystone,Port Townsend,11:45,11:46,12:14,04/19/2024,
Kennewick,Port Townsend,Keystone,12:30,12:32,12:59,04/19/2024,
Kennewick,Keystone,Port Townsend,13:15,13:16,13:43,04/19/2024,
Kennewick,Port Townsend,Keystone,14:00,14:02,14:28,04/19/2024,
Kennewick,Keystone,Port Townsend,14:45,14:47,15:14,04/19/2024,
Kennewick,Port Townsend,Keystone,15:30,15:32,16:02,04/19/2024,
Kennewick,Keystone,Port Townsend,16:15,16:20,16:46,04/19/2024,
Kennewick,Port Townsend,Keystone,17:15,17:15,17:41,04/19/2024,
Kennewick,Keystone,Port Townsend,18:00,18:01,18:28,04/19/2024,
Kennewick,Port Townsend,Keystone,18:45,18:46,19:12,04/19/2024,
Kennewick,Keystone,Port Townsend,19:30,19:30,19:56,04/19/2024,
Kennewick,Port Townsend,Keystone,20:30,20:30,20:56,04/19/2024,
Kennewick,Keystone,Port Townsend,21:10,21:10,21:36,04/19/2024,
Kennewick,Port Townsend,Keystone,06:30,06:30,06:57,04/20/2024,
Kennewick,Keystone,Port Townsend,07:15,07:15,07:41,04/20/2024,
Kennewick,Port Townsend,Keystone,08:00,08:01,08:28,04/20/2024,
Kennewick,Keystone,Port Townsend,08:45,08:45,09:12,04/20/2024,
Kennewick,Port Townsend,Keystone,09:30,09:30,09:56,04/20/2024,
Kennewick,Keystone,Port Townsend,10:15,10:17,10:43,04/20/2024,
Kennewick,Port Townsend,Keystone,11:00,11:01,11:27,04/20/2024,
Kennewick,Keystone,Port Townsend,11:45,11:46,12:16,04/20/2024,
Kennewick,Port Townsend,Keystone,12:30,12:33,12:59,04/20/2024,
Kennewick,Keystone,Port Townsend,13:15,13:17,13:44,04/20/2024,
Kennewick,Port Townsend,Keystone,14:00,14:02,14:28,04/20/2024,
Kennewick,Keystone,Port Townsend,14:45,14:46,15:13,04/20/2024,
Kennewick,Port Townsend,Keystone,15:30,15:31,15:57,04/20/2024,
Kennewick,Keystone,Port Townsend,16:15,16:15,16:42,04/20/2024,
Kennewick,Port Townsend,Keystone,17:15,17:15,17:41,04/20/2024,
Kennewick,Keystone,Port Townsend,18:00,18:00,18:28,04/20/2024,
Kennewick,Port Townsend,Keystone,18:45,18:48,19:14,04/20/2024,
Kennewick,Keystone,Port Townsend,19:30,19:30,19:57,04/20/2024,
Kennewick,Port Townsend,Keystone,20:30,20:30,20:57,04/20/2024,
Kennewick,Keystone,Port Townsend,21:10,21:10,21:38,04/20/2024,
Kennewick,Port Townsend,Keystone,06:30,06:30,06:58,04/21/2024,
Kennewick,Keystone,Port Townsend,07:15,07:17,07:43,04/21/2024,
Kennewick,Port Townsend,Keystone,08:00,08:09,08:36,04/21/2024,
Kennewick,Keystone,Port Townsend,08:45,08:47,09:12,04/21/2024,
Kennewick,Port Townsend,Keystone,09:30,09:30,09:57,04/21/2024,
Kennewick,Keystone,Port Townsend,10:15,10:16,10:42,04/21/2024,
Kennewick,Port Townsend,Keystone,11:00,11:00,11:26,04/21/2024,
Kennewick,Keystone,Port Townsend,11:45,11:46,12:13,04/21/2024,
Kennewick,Port Townsend,Keystone,12:30,12:30,12:57,04/21/2024,
Kennewick,Keystone,Port Townsend,13:15,13:18,13:45,04/21/2024,
Kennewick,Port Townsend,Keystone,14:00,14:01,14:27,04/21/2024,
Kennewick,Keystone,Port Townsend,14:45,14:46,15:13,04/21/2024,
Kennewick,Port Townsend,Keystone,15:30,15:31,15:57,04/21/2024,
Kennewick,Keystone,Port Townsend,16:15,16:16,16:43,04/21/2024,
Kennewick,Port Townsend,Keystone,17:15,17:15,17:42,04/21/2024,
Kennewick,Keystone,Port Townsend,18:00,18:00,18:27,04/21/2024,
Kennewick,Port Townsend,Keystone,18:45,18:45,19:11,04/21/2024,
Kennewick,Keystone,Port Townsend,19:30,19:30,19:57,04/21/2024,
Kennewick,Port Townsend,Keystone,20:30,20:33,20:59,04/21/2024,
Kennewick,Keystone,Port Townsend,21:10,21:10,21:36,04/21/2024,
Kennewick,Port Townsend,Keystone,06:30,06:31,06:58,04/22/2024,
Kennewick,Keystone,Port Townsend,07:15,07:15,07:42,04/22/2024,
