Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Tacoma,Colman,Bainbridge,15:00,15:02,15:39,04/15/2024,
Tacoma,Bainbridge,Colman,15:50,15:51,16:23,04/15/2024,
Tacoma,Colman,Bainbridge,16:45,16:47,17:18,04/15/2024,
Tacoma,Bainbridge,Colman,17:35,17:41,18:11,04/15/2024,
Tacoma,Colman,Bainbridge,18:30,18:32,19:02,04/15/2024,
Tacoma,Bainbridge,Colman,19:20,19:22,19:52,04/15/2024,
Tacoma,Colman,Bainbridge,20:15,20:17,20:48,04/15/2024,
Tacoma,Bainbridge,Colman,21:00,21:00,21:33,04/15/2024,
Tacoma,Colman,Bainbridge,22:05,22:05,22:36,04/15/2024,
Tacoma,Bainbridge,Colman,05:20,05:22,05:53,04/16/2024,
Tacoma,Colman,Bainbridge,06:10,06:11,06:44,04/16/2024,
Tacoma,Bainbridge,Colman,07:05,07:05,07:39,04/16/2024,
Tacoma,Colman,Bainbridge,07:55,07:56,08:27,04/16/2024,
Tacoma,Bainbridge,Colman,08:45,08:46,09:17,04/16/2024,
Tacoma,Colman,Bainbridge,09:35,09:37,10:08,04/16/2024,
Tacoma,Bainbridge,Colman,10:25,10:26,10:56,04/16/2024,
Tacoma,Colman,Bainbridge,11:25,11:27,11:57,04/16/2024,
Tacoma,Bainbridge,Colman,12:20,12:21,12:50,04/16/2024,
Tacoma,Colman,Bainbridge,13:10,13:12,13:55,04/16/2024,
Tacoma,Bainbridge,Colman,14:05,14:06,14:36,04/16/2024,
Tacoma,Colman,Bainbridge,15:00,15:01,15:32,04/16/2024,
Tacoma,Bainbridge,Colman,15:50,15:51,16:22,04/16/2024,
Tacoma,Colman,Bainbridge,16:45,16:48,17:22,04/16/2024,
Tacoma,Bainbridge,Colman,17:35,17:39,18:10,04/16/2024,
Tacoma,Colman,Bainbridge,18:30,18:32,19:02,04/16/2024,
Tacoma,Bainbridge,Colman,19:20,19:21,19:51,04/16/2024,
Tacoma,Colman,Bainbridge,20:15,20:16,20:47,04/16/2024,
Tacoma,Bainbridge,Colman,21:00,21:01,21:31,04/16/2024,
Tacoma,Colman,Bainbridge,22:05,22:07,22:39,04/16/2024,
Tacoma,Bainbridge,Colman,04:45,04:46,05:19,04/17/2024,
Tacoma,Colman,Bainbridge,05:30,05:33,06:05,04/17/2024,
Tacoma,Bainbridge,Colman,06:20,06:22,06:54,04/17/2024,
Tacoma,Colman,Bainbridge,07:05,07:10,07:43,04/17/2024,
Tacoma,Bainbridge,Colman,07:55,08:01,08:34,04/17/2024,
Tacoma,Colman,Bainbridge,08:45,08:52,09:24,04/17/2024,
Tacoma,Bainbridge,Colman,09:40,09:42,10:17,04/17/2024,
Tacoma,Colman,Bainbridge,10:40,10:41,11:14,04/17/2024,
Tacoma,Bainbridge,Colman,11:30,11:33,12:04,04/17/2024,
Tacoma,Colman,Bainbridge,12:25,12:26,12:59,04/17/2024,
Tacoma,Bainbridge,Colman,13:15,13:15,13:47,04/17/2024,
Tacoma,Colman,Bainbridge,14:05,14:06,14:39,04/17/2024,
Tacoma,Bainbridge,Colman,14:55,14:57,15:29,04/17/2024,
Tacoma,Colman,Bainbridge,15:50,15:52,16:24,04/17/2024,
Tacoma,Bainbridge,Colman,16:45,16:45,17:18,04/17/2024,
Tacoma,Colman,Bainbridge,17:45,17:46,18:20,04/17/2024,
Tacoma,Bainbridge,Colman,18:40,18:42,19:12,04/17/2024,
Tacoma,Colman,Bainbridge,19:30,19:32,20:05,04/17/2024,
Tacoma,Bainbridge,Colman,20:20,20:21,20:52,04/17/2024,
