Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Salish,Pt. Defiance,Tahlequah,07:35,07:37,07:47,07/08/2024,
Salish,Tahlequah,Pt. Defiance,08:00,08:05,08:16,07/08/2024,
Salish,Pt. Defiance,Tahlequah,08:25,08:31,08:42,07/08/2024,
Salish,Tahlequah,Pt. Defiance,08:50,08:58,09:09,07/08/2024,
Salish,Pt. Defiance,Tahlequah,09:15,09:30,09:40,07/08/2024,
Salish,Tahlequah,Pt. Defiance,09:40,09:58,10:08,07/08/2024,
Salish,Pt. Defiance,Tahlequah,10:05,10:25,10:35,07/08/2024,
Salish,Tahlequah,Pt. Defiance,10:30,10:53,11:03,07/08/2024,
Salish,Pt. Defiance,Tahlequah,10:55,11:20,11:30,07/08/2024,
Salish,Tahlequah,Pt. Defiance,11:20,11:49,11:59,07/08/2024,
Salish,Pt. Defiance,Tahlequah,11:45,12:14,12:24,07/08/2024,
Salish,Tahlequah,Pt. Defiance,12:10,12:40,12:49,07/08/2024,
Salish,Pt. Defiance,Tahlequah,13:40,13:46,13:57,07/08/2024,
Salish,Tahlequah,Pt. Defiance,14:10,14:19,14:30,07/08/2024,
Salish,Pt. Defiance,Tahlequah,14:40,14:49,15:00,07/08/2024,
Salish,Tahlequah,Pt. Defiance,15:10,15:19,15:30,07/08/2024,
Salish,Pt. Defiance,Tahlequah,15:40,15:46,15:57,07/08/2024,
Salish,Tahlequah,Pt. Defiance,16:05,16:17,16:29,07/08/2024,
Salish,Pt. Defiance,Tahlequah,16:35,16:43,16:57,07/08/2024,
Salish,Tahlequah,Pt. Defiance,17:00,17:14,17:25,07/08/2024,
Salish,Pt. Defiance,Tahlequah,17:30,17:40,17:51,07/08/2024,
Salish,Tahlequah,Pt. Defiance,18:00,18:10,18:21,07/08/2024,
Salish,Pt. Defiance,Tahlequah,18:30,18:34,18:46,07/08/2024,
Salish,Tahlequah,Pt. Defiance,19:00,19:01,19:13,07/08/2024,
Salish,Pt. Defiance,Tahlequah,19:25,19:26,19:37,07/08/2024,
Salish,Tahlequah,Pt. Defiance,20:00,20:02,20:13,07/08/2024,
Salish,Pt. Defiance,Tahlequah,20:25,20:28,20:39,07/08/2024,
Salish,Tahlequah,Pt. Defiance,21:00,21:02,21:13,07/08/2024,
Salish,Pt. Defiance,Tahlequah,21:30,21:31,21:42,07/08/2024,
Salish,Tahlequah,Pt. Defiance,22:00,22:01,22:12,07/08/2024,
Salish,Pt. Defiance,Tahlequah,22:30,22:31,22:43,07/08/2024,
Salish,Tahlequah,Pt. Defiance,22:55,22:57,23:07,07/08/2024,
Salish,Pt. Defiance,Tahlequah,05:05,05:07,05:17,07/09/2024,
Salish,Tahlequah,Pt. Defiance,05:30,05:31,05:42,07/09/2024,
Salish,Pt. Defiance,Tahlequah,05:55,05:57,06:07,07/09/2024,
Salish,Tahlequah,Pt. Defiance,06:20,06:22,06:34,07/09/2024,
Salish,Pt. Defiance,Tahlequah,06:45,06:47,06:58,07/09/2024,
Salish,Tahlequah,Pt. Defiance,07:10,07:12,07:23,07/09/2024,
Salish,Pt. Defiance,Tahlequah,07:35,07:40,07:51,07/09/2024,
Salish,Tahlequah,Pt. Defiance,08:00,08:09,08:19,07/09/2024,
Salish,Pt. Defiance,Tahlequah,08:25,08:37,08:48,07/09/2024,
Salish,Tahlequah,Pt. Defiance,08:50,09:04,09:14,07/09/2024,
Salish,Pt. Defiance,Tahlequah,09:15,09:31,09:41,07/09/2024,
Salish,Tahlequah,Pt. Defiance,09:40,09:58,10:08,07/09/2024,
Salish,Pt. Defiance,Tahlequah,10:05,10:21,10:31,07/09/2024,
Salish,Tahlequah,Pt. Defiance,10:30,10:44,10:54,07/09/2024,
Salish,Pt. Defiance,Tahlequah,10:55,11:10,11:20,07/09/2024,
Salish,Tahlequah,Pt. Defiance,11:20,11:38,11:49,07/09/2024,
Salish,Pt. Defiance,Tahlequah,11:45,12:04,12:15,07/09/2024,
Salish,Tahlequah,Pt. Defiance,12:10,12:27,12:37,07/09/2024,
Salish,Pt. Defiance,Tahlequah,13:40,13:41,13:53,07/09/2024,
Salish,Tahlequah,Pt. Defiance,14:10,14:14,14:24,07/09/2024,
Salish,Pt. Defiance,Tahlequah,14:40,14:43,14:55,07/09/2024,
Salish,Tahlequah,Pt. Defiance,15:10,15:11,15:22,07/09/2024,
Salish,Pt. Defiance,Tahlequah,15:40,15:41,15:53,07/09/2024,
Salish,Tahlequah,Pt. Defiance,16:05,16:08,16:19,07/09/2024,
Salish,Pt. Defiance,Tahlequah,16:35,16:36,16:47,07/09/2024,
Salish,Tahlequah,Pt. Defiance,17:00,17:01,17:13,07/09/2024,
Salish,Pt. Defiance,Tahlequah,17:30,17:31,17:42,07/09/2024,
Salish,Tahlequah,Pt. Defiance,18:00,18:01,18:13,07/09/2024,
Salish,Pt. Defiance,Tahlequah,18:30,18:31,18:43,07/09/2024,
Salish,Tahlequah,Pt. Defiance,19:00,19:02,19:13,07/09/2024,
Salish,Pt. Defiance,Tahlequah,19:25,19:26,19:37,07/09/2024,
Salish,Tahlequah,Pt. Defiance,20:00,20:03,20:14,07/09/2024,
Salish,Pt. Defiance,Tahlequah,20:25,20:27,20:38,07/09/2024,
Salish,Tahlequah,Pt. Defiance,21:00,21:00,21:12,07/09/2024,
Salish,Pt. Defiance,Tahlequah,21:30,21:31,21:42,07/09/2024,
Salish,Tahlequah,Pt. Defiance,22:00,22:03,22:14,07/09/2024,
Salish,Pt. Defiance,Tahlequah,22:30,22:32,22:43,07/09/2024,
Salish,Tahlequah,Pt. Defiance,22:55,22:56,23:06,07/09/2024,
Salish,Pt. Defiance,Tahlequah,05:05,05:06,05:17,07/10/2024,
Salish,Tahlequah,Pt. Defiance,05:30,05:32,05:43,07/10/2024,
Salish,Pt. Defiance,Tahlequah,05:55,05:57,06:07,07/10/2024,
