Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Issaquah,Mukilteo,Clinton,08:00,08:00,08:14,04/14/2024,
Issaquah,Clinton,Mukilteo,08:30,08:32,08:47,04/14/2024,
Issaquah,Mukilteo,Clinton,09:00,09:00,09:14,04/14/2024,
Issaquah,Clinton,Mukilteo,09:30,09:30,09:56,04/14/2024,
Issaquah,Mukilteo,Clinton,10:00,10:10,10:25,04/14/2024,
Issaquah,Clinton,Mukilteo,10:30,10:40,10:55,04/14/2024,
Issaquah,Mukilteo,Clinton,11:00,11:09,11:23,04/14/2024,
Issaquah,Clinton,Mukilteo,11:30,11:38,11:53,04/14/2024,
Issaquah,Mukilteo,Clinton,12:00,12:08,12:22,04/14/2024,
Issaquah,Clinton,Mukilteo,12:30,12:38,12:53,04/14/2024,
Issaquah,Mukilteo,Clinton,13:00,13:07,13:21,04/14/2024,
Issaquah,Clinton,Mukilteo,13:30,13:38,13:51,04/14/2024,
Issaquah,Mukilteo,Clinton,14:05,14:06,14:21,04/14/2024,
Issaquah,Clinton,Mukilteo,14:35,14:40,14:54,04/14/2024,
Issaquah,Mukilteo,Clinton,15:05,15:05,15:23,04/14/2024,
Issaquah,Clinton,Mukilteo,15:35,15:36,15:51,04/14/2024,
Issaquah,Mukilteo,Clinton,16:05,16:05,16:22,04/14/2024,
Issaquah,Clinton,Mukilteo,16:35,16:39,16:53,04/14/2024,
Issaquah,Mukilteo,Clinton,17:10,17:10,17:25,04/14/2024,
Issaquah,Clinton,Mukilteo,17:35,17:42,17:55,04/14/2024,
Issaquah,Mukilteo,Clinton,18:10,18:10,18:24,04/14/2024,
Issaquah,Clinton,Mukilteo,18:35,18:38,18:52,04/14/2024,
Issaquah,Mukilteo,Clinton,19:05,19:05,19:20,04/14/2024,
Issaquah,Clinton,Mukilteo,19:35,19:36,19:49,04/14/2024,
Issaquah,Mukilteo,Clinton,20:05,20:05,20:19,04/14/2024,
Issaquah,Clinton,Mukilteo,20:30,20:32,20:46,04/14/2024,
Issaquah,Mukilteo,Clinton,21:00,21:01,21:15,04/14/2024,
Issaquah,Clinton,Mukilteo,21:30,21:31,21:44,04/14/2024,
Issaquah,Mukilteo,Clinton,22:00,22:00,22:14,04/14/2024,
Issaquah,Clinton,Mukilteo,22:30,22:31,22:45,04/14/2024,
Issaquah,Mukilteo,Clinton,23:00,23:00,23:14,04/14/2024,
Issaquah,Clinton,Mukilteo,23:30,23:44,23:55,04/14/2024,
Issaquah,Mukilteo,Clinton,00:00,00:01,00:15,04/15/2024,
Issaquah,Clinton,Mukilteo,00:30,00:30,00:43,04/15/2024,
Issaquah,Mukilteo,Clinton,01:05,01:06,01:20,04/15/2024,
